userId,index,rating
5,17,4
5,18,5
5,19,4
5,20,3
5,21,5
5,22,5
5,23,5
5,24,4
5,25,5
5,26,1
5,27,1
5,28,2
5,29,4
5,30,4
5,31,5
5,32,3
5,33,4
5,34,4
5,35,1
5,36,5
5,37,5
5,38,1
5,39,4
5,40,5
5,41,2
5,42,4
5,43,1
5,44,2
5,45,5
5,46,5
5,47,5
5,48,4
5,49,4
5,50,5
5,51,2
5,52,2
5,53,4
5,54,4
5,55,5
5,56,4
5,57,3
5,58,5
5,59,4
5,60,1
5,61,4
5,62,4
5,1,4
5,13,4
5,2,3
5,3,5
5,63,4
5,4,4
5,5,2
5,6,1
5,7,5
5,8,2
5,9,1
5,10,3
5,11,3
5,12,5
6,14,4
6,15,3
6,16,4
6,17,4
6,18,3
6,19,1
6,20,3
6,21,4
6,22,3
6,23,3
6,24,4
6,25,5
6,26,3
6,27,4
6,28,3
6,29,3
6,30,2
6,31,5
6,32,4
6,33,3
6,34,2
6,35,4
6,36,1
6,37,4
6,38,3
6,39,1
6,40,3
6,41,5
6,42,3
6,43,4
6,44,4
6,45,5
6,46,4
6,47,4
6,48,4
6,49,4
6,50,3
6,51,4
6,52,5
6,53,4
6,54,3
6,55,3
6,56,4
6,57,5
6,58,3
6,59,4
6,60,3
6,61,1
6,62,5
6,1,5
6,13,3
6,2,2
6,3,3
6,63,3
6,4,3
6,5,2
6,6,3
6,7,4
6,8,2
6,9,3
6,10,4
6,11,4
6,12,5
7,14,4
7,15,3
7,16,3
7,17,3
7,18,5
7,19,3
7,20,4
7,21,5
7,22,3
7,23,3
7,24,3
7,25,3
7,26,4
7,27,3
7,28,4
7,29,4
7,30,5
7,31,3
7,32,4
7,33,3
7,34,2
7,35,3
7,36,3
7,37,4
7,38,3
7,39,2
7,40,3
7,41,3
7,42,4
7,43,3
7,44,1
7,45,3
7,46,5
7,47,4
7,48,5
7,49,4
7,50,5
7,51,1
7,52,4
7,53,3
7,54,3
7,55,5
7,56,3
7,57,5
7,58,4
7,59,4
7,60,3
7,61,3
7,62,3
7,1,3
7,13,3
7,2,5
7,3,5
7,63,4
7,4,3
7,5,4
7,6,4
7,7,4
7,8,5
7,9,3
7,10,3
7,11,3
7,12,3
8,14,2.5
8,15,3
8,16,4
8,17,2
8,18,2
8,19,4
8,20,0.5
8,21,4.5
8,22,1
8,23,1.5
8,24,1.5
8,25,3
9,26,4
9,27,4
9,28,4
9,29,4.5
9,30,4.5
9,31,3.5
9,32,3.5
9,33,0.5
9,34,4
9,35,3
9,36,3
9,37,1.5
9,38,5
9,39,4.5
9,40,4.5
9,41,4
9,42,4.5
9,43,4
9,44,4
9,45,0.5
9,46,4.5
9,47,4.5
9,48,2
9,49,4.5
9,50,4
9,51,3
9,52,4
9,53,4.5
9,54,3.5
9,55,2.5
9,56,2
9,57,4.5
9,58,4.5
9,59,3.5
9,60,1
9,61,1
9,62,4.5
9,1,1.5
9,13,1
9,2,3.5
9,3,1
9,63,4.5
9,4,4
9,5,4
9,6,3.5
9,7,4
9,8,1
9,9,2.5
9,10,2.5
9,11,4
9,12,3
